,Ki,P1_init,P2_init,P3_init,P4_init,P5_init,k1,k2,k3,k4,k6,k7,k8_FA,k8_FA_coA,k9,k10,k11,k12,k13,k14,k19,k20,k21,k22,k23,Tox_coA,unreg,reg
39,7.00E-002,5.33E+003,1.34E+002,6.86E+001,1.43E+002,4.19E+001,1.83E+002,3.77E-003,3.52E-003,2.53E+002,6.46E-001,1.63E+000,2.57E-006,8.02E-009,7.15E+000,2.47E-002,8.70E+001,9.26E-002,3.51E+001,9.87E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.70E+005,1.03E+005,2.96E+004
40,7.71E-002,4.13E+003,2.96E+001,4.27E+001,6.30E+001,1.46E+002,5.01E+001,1.27E-003,7.04E-004,3.09E+002,1.64E+000,1.12E+000,2.75E-006,8.04E-010,2.81E+001,1.17E-001,4.35E+001,3.21E-002,5.14E+001,1.42E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,4.24E+006,7.49E+004,7.50E+004
41,2.42E-002,1.28E+004,3.60E+001,1.50E+002,1.50E+002,1.77E+002,5.09E+001,3.12E-003,5.00E-003,8.68E+002,1.22E+000,3.85E-001,6.70E-006,6.19E-009,3.22E+000,6.38E-002,1.38E+001,4.58E-002,4.88E+001,6.88E-003,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.65E+007,1.33E+004,1.40E+004
42,8.77E-002,5.19E+002,8.16E+001,1.86E+001,6.59E+001,9.73E+001,4.54E+001,4.18E-003,2.83E-003,9.11E+002,1.69E+000,1.48E+000,1.16E-006,1.10E-009,2.79E+001,2.96E-002,8.89E+001,7.42E-002,1.16E+001,8.85E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,9.92E+006,7.68E+004,2.85E+004
43,1.12E-001,1.41E+004,7.01E+000,1.42E+002,9.38E+001,4.41E+001,1.93E+002,5.94E-003,4.96E-004,7.32E+002,1.38E+000,1.68E+000,8.46E-006,1.93E-009,3.53E+001,8.37E-002,3.66E+001,9.85E-002,7.31E+001,7.06E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,4.27E+006,9.21E+002,1.25E+002
44,2.46E-002,1.76E+004,1.88E+002,1.27E+002,1.79E+002,2.14E+000,8.32E+001,5.00E-003,2.52E-003,2.96E+002,1.69E+000,1.51E+000,1.88E-007,8.18E-009,2.59E+001,6.09E-002,2.29E+000,1.06E-002,8.53E+001,6.21E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.31E+007,2.60E+000,1.64E-001
45,1.45E-001,1.20E+004,1.53E+002,9.94E+001,1.61E+002,1.87E+001,1.33E+002,4.42E-003,8.85E-004,1.10E+002,8.49E-001,1.16E+000,7.02E-006,3.23E-010,2.90E+001,3.59E-002,3.39E+001,8.77E-002,6.08E+001,2.17E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.71E+007,4.71E+000,1.76E+000
46,1.54E-001,1.02E+004,9.08E+001,6.47E+001,1.19E+002,1.50E+002,2.78E+001,1.22E-003,4.08E-003,2.09E+002,4.32E-002,1.80E+000,8.43E-006,5.32E-009,1.35E+001,8.20E-002,4.67E+001,8.48E-002,5.45E+001,1.20E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.49E+007,1.18E+005,1.13E+005
47,1.28E-001,1.46E+004,6.64E+001,1.47E+002,7.60E+001,1.58E+002,1.82E+002,2.82E-003,5.43E-003,9.84E+001,1.18E+000,1.08E+000,3.73E-006,4.06E-009,1.48E+000,7.76E-002,7.23E+001,8.13E-002,6.15E+001,5.05E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,4.34E+006,3.30E+004,1.65E+004
48,1.08E-001,9.91E+003,1.39E+002,1.18E+002,5.82E-001,1.99E+002,1.85E+002,4.75E-003,5.62E-004,4.89E+002,8.79E-001,1.17E+000,3.82E-007,7.41E-009,1.86E+001,1.09E-001,7.94E+001,1.67E-002,6.06E+001,9.67E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,7.69E+004,4.04E+005,3.54E+005
49,9.99E-002,1.14E+004,1.54E+002,1.03E+002,1.12E+002,1.27E+000,1.01E+002,5.89E-003,1.33E-003,2.90E+002,8.74E-001,1.16E+000,4.19E-006,7.25E-009,3.06E+001,8.94E-002,9.07E+001,1.26E-001,9.21E+001,2.62E-003,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,5.88E+006,5.14E+001,1.58E+003
50,5.32E-003,4.55E+003,4.95E+000,3.21E+001,7.02E+001,2.28E+001,9.60E+001,1.97E-003,3.89E-003,1.16E+002,1.85E-001,5.22E-001,8.33E-006,5.21E-009,5.77E+000,6.28E-002,9.19E+000,1.40E-002,1.55E+001,5.98E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.46E+007,1.05E+000,3.35E-002
51,1.72E-001,1.11E+002,1.03E+002,1.46E+002,9.19E+001,1.32E+002,1.05E+002,1.39E-003,3.68E-003,3.40E+001,4.67E-001,5.93E-001,2.71E-006,6.24E-009,6.91E+000,8.84E-002,5.50E+000,6.40E-003,1.32E+001,3.41E-002,6.30E-005,6.30E-005,6.30E-005,6.30E-005,6.30E-005,1.74E+007,1.15E+002,3.70E+000
